"filename", "language", "Handlebars", "SCSS", "Markdown", "JavaScript", "JSON", "XML", "CSS", "comment", "blank", "total"
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\public\modules\Btn.js", "JavaScript", 0, 0, 0, 24, 0, 0, 0, 0, 2, 26
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\public\modules\Cart.js", "JavaScript", 0, 0, 0, 325, 0, 0, 0, 3, 29, 357
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\public\modules\Form.js", "JavaScript", 0, 0, 0, 148, 0, 0, 0, 0, 17, 165
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\public\modules\Modal.js", "JavaScript", 0, 0, 0, 45, 0, 0, 0, 0, 5, 50
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\public\modules\ProductCard.js", "JavaScript", 0, 0, 0, 58, 0, 0, 0, 0, 2, 60
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\public\modules\ProductsTable.js", "JavaScript", 0, 0, 0, 38, 0, 0, 0, 0, 3, 41
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\public\modules\SalesTable.js", "JavaScript", 0, 0, 0, 2, 0, 0, 0, 0, 2, 4
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\public\modules\Spin.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 0, 4, 17
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\public\modules\Table.js", "JavaScript", 0, 0, 0, 67, 0, 0, 0, 0, 6, 73
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\public\modules\popup.js", "JavaScript", 0, 0, 0, 43, 0, 0, 0, 1, 8, 52
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\public\pages\alta.js", "JavaScript", 0, 0, 0, 277, 0, 0, 0, 4, 22, 303
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\public\pages\contacto.js", "JavaScript", 0, 0, 0, 62, 0, 0, 0, 0, 3, 65
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\public\pages\home.js", "JavaScript", 0, 0, 0, 79, 0, 0, 0, 3, 10, 92
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\public\pages\listado.js", "JavaScript", 0, 0, 0, 60, 0, 0, 0, 0, 6, 66
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\public\pages\nosotros.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 3, 2, 10
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\public\pages\product.js", "JavaScript", 0, 0, 0, 46, 0, 0, 0, 0, 3, 49
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\public\pages\sale.js", "JavaScript", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\routers\ContactRouter.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 0, 2, 17
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\routers\MainRouter.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 2, 12
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\routers\PageRouter.js", "JavaScript", 0, 0, 0, 28, 0, 0, 0, 1, 2, 31
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\routers\ProductRouter.js", "JavaScript", 0, 0, 0, 55, 0, 0, 0, 4, 5, 64
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\routers\SaleRouter.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\README.md", "Markdown", 0, 0, 4, 0, 0, 0, 0, 0, 4, 8
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\abstracts\README.md", "Markdown", 0, 0, 4, 0, 0, 0, 0, 0, 4, 8
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\abstracts\_functions.scss", "SCSS", 0, 9, 0, 0, 0, 0, 0, 19, 4, 32
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\abstracts\_mixins.scss", "SCSS", 0, 29, 0, 0, 0, 0, 0, 10, 3, 42
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\abstracts\_palette.scss", "SCSS", 0, 22, 0, 0, 0, 0, 0, 12, 3, 37
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\abstracts\_variables.scss", "SCSS", 0, 14, 0, 0, 0, 0, 0, 26, 32, 72
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\base\README.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 3, 6
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\base\_animations.scss", "SCSS", 0, 39, 0, 0, 0, 0, 0, 0, 3, 42
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\base\_base.scss", "SCSS", 0, 28, 0, 0, 0, 0, 0, 3, 9, 40
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\base\_fonts.scss", "SCSS", 0, 3, 0, 0, 0, 0, 0, 1, 0, 4
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\base\_reset.scss", "SCSS", 0, 10, 0, 0, 0, 0, 0, 0, 4, 14
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\base\_utilities.scss", "SCSS", 0, 46, 0, 0, 0, 0, 0, 0, 11, 57
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\components\README.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 3, 6
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\components\_badge.scss", "SCSS", 0, 21, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\components\_big-cards-container.scss", "SCSS", 0, 19, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\components\_big-cards.scss", "SCSS", 0, 113, 0, 0, 0, 0, 0, 8, 19, 140
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\components\_btn.scss", "SCSS", 0, 48, 0, 0, 0, 0, 0, 3, 4, 55
