Date : 2022-11-18 15:23:15
Directory : c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT
Total : 150 files,  14058 codes, 645 comments, 1070 blanks, all 15773 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\models\DB\MongoDB.js                          | JavaScript |         46 |          0 |          8 |         54 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\models\ModelMem.js                            | JavaScript |         67 |          1 |         13 |         81 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\models\ModelMongo.js                          | JavaScript |        162 |         13 |         14 |        189 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\models\ModelMongoContact.js                   | JavaScript |         17 |          4 |          3 |         24 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\models\ModelMongoSale.js                      | JavaScript |         59 |          6 |          7 |         72 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\models\ModelPage.js                           | JavaScript |          9 |          0 |          3 |         12 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\models\ProductModel.js                        | JavaScript |        122 |          9 |         12 |        143 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\models\SaleModel.js                           | JavaScript |         59 |          0 |          5 |         64 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\models\products-fs.js                         | JavaScript |         60 |         15 |         18 |         93 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\multer.js                                     | JavaScript |         34 |          0 |          6 |         40 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\package-lock.json                             | JSON       |      2,184 |          0 |          1 |      2,185 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\package.json                                  | JSON       |         42 |          0 |          1 |         43 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\public\css\main.css                           | CSS        |      3,344 |        133 |         98 |      3,575 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\public\img\check.svg                          | XML        |          1 |          0 |          0 |          1 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\public\js\footer.js                           | JavaScript |         52 |          0 |          3 |         55 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\public\js\header.js                           | JavaScript |         91 |         30 |         24 |        145 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\public\js\main.js                             | JavaScript |         96 |          1 |         14 |        111 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\public\modules\Btn.js                         | JavaScript |         24 |          0 |          2 |         26 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\public\modules\Cart.js                        | JavaScript |        325 |          3 |         29 |        357 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\public\modules\Form.js                        | JavaScript |        148 |          0 |         17 |        165 |
